date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:00:54	50304/50304	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:31%20GMT	https://colorlib.com/polygon/concept/pages/cards.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/cards.html	(from https://colorlib.com/polygon/concept/index.html)
15:00:55	40365/40365	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:35%20GMT	https://colorlib.com/polygon/concept/pages/general.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/general.html	(from https://colorlib.com/polygon/concept/index.html)
15:00:55	22781/22781	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:28%20GMT	https://colorlib.com/polygon/concept/pages/carousel.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/carousel.html	(from https://colorlib.com/polygon/concept/index.html)
15:00:56	22021/22021	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:28%20GMT	https://colorlib.com/polygon/concept/pages/listgroup.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/listgroup.html	(from https://colorlib.com/polygon/concept/index.html)
15:00:56	25521/25521	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:30%20GMT	https://colorlib.com/polygon/concept/pages/typography.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/typography.html	(from https://colorlib.com/polygon/concept/index.html)
15:00:56	29277/29277	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:25%20GMT	https://colorlib.com/polygon/concept/pages/accordions.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/accordions.html	(from https://colorlib.com/polygon/concept/index.html)
15:00:57	44903/44903	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:25%20GMT	https://colorlib.com/polygon/concept/pages/tabs.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/tabs.html	(from https://colorlib.com/polygon/concept/index.html)
15:00:57	19637/19637	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:34%20GMT	https://colorlib.com/polygon/concept/pages/chart-c3.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/chart-c3.html	(from https://colorlib.com/polygon/concept/index.html)
15:00:57	21268/21268	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:34%20GMT	https://colorlib.com/polygon/concept/pages/chart-chartist.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/chart-chartist.html	(from https://colorlib.com/polygon/concept/index.html)
15:00:58	18904/18904	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:32%20GMT	https://colorlib.com/polygon/concept/pages/chart-charts.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/chart-charts.html	(from https://colorlib.com/polygon/concept/index.html)
15:00:58	18861/18861	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:36%20GMT	https://colorlib.com/polygon/concept/pages/chart-morris.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/chart-morris.html	(from https://colorlib.com/polygon/concept/index.html)
15:00:59	19842/19842	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:31%20GMT	https://colorlib.com/polygon/concept/pages/chart-sparkline.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/chart-sparkline.html	(from https://colorlib.com/polygon/concept/index.html)
15:00:59	18199/18199	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:22%20GMT	https://colorlib.com/polygon/concept/pages/chart-gauge.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/chart-gauge.html	(from https://colorlib.com/polygon/concept/index.html)
15:00:59	40754/40754	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:32%20GMT	https://colorlib.com/polygon/concept/pages/form-elements.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/form-elements.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:00	30854/30854	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:22%20GMT	https://colorlib.com/polygon/concept/pages/form-validation.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/form-validation.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:00	22716/22716	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:25%20GMT	https://colorlib.com/polygon/concept/pages/multiselect.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/multiselect.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:01	22181/22181	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:35%20GMT	https://colorlib.com/polygon/concept/pages/datepicker.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/datepicker.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:01	25664/25664	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:31%20GMT	https://colorlib.com/polygon/concept/pages/bootstrap-select.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/bootstrap-select.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:01	21183/21183	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:24%20GMT	https://colorlib.com/polygon/concept/pages/general-table.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/general-table.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:02	59811/59811	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:35%20GMT	https://colorlib.com/polygon/concept/pages/data-tables.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/data-tables.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:02	16762/16762	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:35%20GMT	https://colorlib.com/polygon/concept/pages/blank-page.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/blank-page.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:02	17442/17442	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:29%20GMT	https://colorlib.com/polygon/concept/pages/blank-page-header.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/blank-page-header.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:03	2334/2334	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:27%20GMT	https://colorlib.com/polygon/concept/pages/login.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/login.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:03	2347/2347	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:27%20GMT	https://colorlib.com/polygon/concept/pages/404-page.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/404-page.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:05	2702/2702	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:29%20GMT	https://colorlib.com/polygon/concept/pages/sign-up.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/sign-up.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:05	1984/1984	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:23%20GMT	https://colorlib.com/polygon/concept/pages/forgot-password.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/forgot-password.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:06	23184/23184	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:24%20GMT	https://colorlib.com/polygon/concept/pages/pricing.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/pricing.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:06	21078/21078	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:26%20GMT	https://colorlib.com/polygon/concept/pages/timeline.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/timeline.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:06	18894/18894	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:22%20GMT	https://colorlib.com/polygon/concept/pages/calendar.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/calendar.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:07	27735/27735	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:37%20GMT	https://colorlib.com/polygon/concept/pages/sortable-nestable-lists.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/sortable-nestable-lists.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:07	29108/29108	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:23%20GMT	https://colorlib.com/polygon/concept/pages/widgets.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/widgets.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:08	38041/38041	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:29%20GMT	https://colorlib.com/polygon/concept/pages/media-object.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/media-object.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:08	37754/37754	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:32%20GMT	https://colorlib.com/polygon/concept/pages/cropper-image.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/cropper-image.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:08	26462/26462	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:21%20GMT	https://colorlib.com/polygon/concept/pages/color-picker.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/color-picker.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:09	25462/25462	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:31%20GMT	https://colorlib.com/polygon/concept/pages/inbox.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/inbox.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:09	21141/21141	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:37%20GMT	https://colorlib.com/polygon/concept/pages/email-details.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/email-details.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:09	20690/20690	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:36%20GMT	https://colorlib.com/polygon/concept/pages/email-compose.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/email-compose.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:10	39438/39438	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:33%20GMT	https://colorlib.com/polygon/concept/pages/message-chat.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/message-chat.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:10	126147/126147	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:33%20GMT	https://colorlib.com/polygon/concept/pages/icon-fontawesome.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/icon-fontawesome.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:10	258602/258602	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:26%20GMT	https://colorlib.com/polygon/concept/pages/icon-material.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/icon-material.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:11	36212/36212	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:27%20GMT	https://colorlib.com/polygon/concept/pages/icon-simple-lineicon.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/icon-simple-lineicon.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:11	53153/53153	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:34%20GMT	https://colorlib.com/polygon/concept/pages/icon-themify.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/icon-themify.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:11	41145/41145	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:36%20GMT	https://colorlib.com/polygon/concept/pages/icon-flag.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/icon-flag.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:12	45242/45242	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:32%20GMT	https://colorlib.com/polygon/concept/pages/icon-weather.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/icon-weather.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:13	20274/20274	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:25%20GMT	https://colorlib.com/polygon/concept/pages/map-google.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/map-google.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:13	19145/19145	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:24%20GMT	https://colorlib.com/polygon/concept/pages/map-vector.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/pages/map-vector.html	(from https://colorlib.com/polygon/concept/index.html)
15:01:13	1023439/1023439	---M--	200	added ('OK')	image/jpeg	etag:%225bf6b6c6-1261fa%22	https://colorlib.com/polygon/concept/assets/images/product-pic.jpg	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/assets/images/product-pic.jpg	(from https://colorlib.com/polygon/concept/index.html)
15:01:13	1023439/1023439	---M--	200	added ('OK')	image/jpeg	etag:%225bf6b6d0-1261fa%22	https://colorlib.com/polygon/concept/assets/images/product-pic-2.jpg	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/assets/images/product-pic-2.jpg	(from https://colorlib.com/polygon/concept/index.html)
15:01:13	1023439/1023439	---M--	200	added ('OK')	image/jpeg	etag:%225bf6b6d1-1261fa%22	https://colorlib.com/polygon/concept/assets/images/product-pic-3.jpg	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/assets/images/product-pic-3.jpg	(from https://colorlib.com/polygon/concept/index.html)
15:01:14	1023439/1023439	---M--	200	added ('OK')	image/jpeg	etag:%225bf6b6d1-1261fa%22	https://colorlib.com/polygon/concept/assets/images/product-pic-4.jpg	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/assets/images/product-pic-4.jpg	(from https://colorlib.com/polygon/concept/index.html)
